Beam energy dependence of higher moments of net-charge multiplity 
distributions in Au+Au collisions at RHIC

Fig.1                                                                                                                 
(Efficiency corrected Mean, Std. Deviation, skewness and kurtosis for different 
centralities for different energies) 


Mean                                                                                    

AuAu 200 GeV

Npart    Mean    Stat.Err    Sys.Err
72.93    0.0229262    0.00317363    0.00324089
110.87    0.0195127    0.00318813    0.00328692
161.17    0.0178764    0.00321496    0.00329999
227.42    0.0142114    0.00339713    0.00357025
291.78    0.0156605    0.00483664    0.00505244
340.96    0.00707576    0.00564347    0.00529143
            
AuAu 19.6 GeV

Npart    Skewness    Stat.Err    Sys.Err
17.96    0.0785362    0.00448072    0.00483169
31.43    0.0667724    0.00438452    0.00452325
51.21    0.0501158    0.00405488    0.00399058
79.93    0.0412971    0.00399953    0.00394253
117.86    0.0337924    0.00390766    0.00403115
167.02    0.03095    0.0040017    0.00408902
232.41    0.0261344    0.00415493    0.00430089
293.93    0.0159973    0.00612565    0.00636467
340.67    0.0197175    0.0309381    0.0078389
            
AuAu 11.5 GeV

Npart    Skewness    Stat.Err    Sys.Err
14.044    0.139837    0.0125298    0.0133007
25.59    0.0992964    0.0112386    0.0109232
44.32    0.108984    0.00978227    0.0100712
71.92    0.0739839    0.0097801    0.00999908
109.3    0.0743751    0.0103818    0.00998736
158.38    0.0449842    0.0104976    0.0102526
224.29    0.0484896    0.0102855    0.0105865
288.74    0.0247527    0.0154402    0.0158546
338.42    0.0379972    0.0385402    0.0162582
            
AuAu 7.7 GeV

Npart    Skewness    Stat.Err    Sys.Err
13.85    0.225128    0.0173629    0.0181023
25.62    0.206738    0.014194    0.0140435
44.56    0.173262    0.0133542    0.0137472
71.36    0.155024    0.012746    0.0127051
109.02    0.0935966    0.0119095    0.0121223
160.94    0.082844    0.0124036    0.0126108
226.64    0.0595631    0.0129496    0.0131854
290.41    0.0463935    0.0185085    0.0191031
337.36    0.036511    0.0345157    0.0208417



  Kurtosis                                                                                                
            
AuAu 200 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
14.96    0.222321    0.00645329    0.011209
27.43    0.120863    0.00539967    0.0104376
47.21    0.0539637    0.00488252    0.00923547
76.93    0.0330566    0.00500494    0.0105456
116.73    0.0176276    0.00499441    0.0113134
169.02    0.00809433    0.00496491    0.0118741
237.26    0.0158918    0.00505923    0.0119834
302.22    -0.00159443    0.00691932    0.0166084
349.67    0.00681126    0.0161456    0.0163888
            
AuAu 62.4 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
13.78    0.310553    0.0111285    0.0165489
26.56    0.143421    0.00849392    0.0149909
46.26    0.0764069    0.00756576    0.0137756
75.08    0.0467018    0.00722437    0.0143259
113.49    0.041783    0.00760108    0.0152398
164.59    0.0132599    0.00777988    0.0164163
232.08    0.0238587    0.00800521    0.0174166
296.71    0.0214667    0.0113657    0.0257374
344.4    0.0176946    0.86036    0.0274661
            
AuAu 39 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
14.07    0.335714    0.00680407    0.00874348
26.23    0.174929    0.00596232    0.00797843
45.25    0.0891515    0.00573744    0.0088509
72.86    0.050499    0.00548515    0.00849283
110.54    0.0299477    0.00572608    0.00989831
160.87    0.0194681    0.00565367    0.00993191
227.72    0.00849702    0.00565298    0.0106562
291.95    0.010157    0.00869745    0.0160415
341.76    0.00625608    0.21563    0.0166086
            
AuAu 27 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
13.43    0.37437    0.0115555    0.0172745
26.06    0.177625    0.00965052    0.0162739
45.43    0.0873985    0.00895126    0.0167447
72.93    0.0629064    0.0083704    0.016115
110.87    0.0318891    0.00852887    0.0172336
161.17    0.0162848    0.00847256    0.0175536
227.42    0.0262411    0.00911909    0.0204293
291.78    0.0095469    0.0130865    0.0290393
340.96    0.0121122    0.0953044    0.0315287
            
AuAu 19.6 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
17.96    0.37648    0.0144956    0.0199217
31.43    0.203594    0.0126277    0.0194663
51.21    0.101873    0.0103961    0.0180695
79.93    0.0585736    0.0100615    0.0182746
117.86    0.0422256    0.010358    0.0196327
167.02    0.0285472    0.0105851    0.0209301
232.41    0.0189152    0.0110368    0.0229867
293.93    0.00355164    0.0163697    0.0354834
340.67    -0.0140983    0.94634    0.646986
            
AuAu 11.5 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
14.044    0.506052    0.0369828    0.0536094
25.59    0.253853    0.0314083    0.0467081
44.32    0.111741    0.0257268    0.044997
71.92    0.0912061    0.0272415    0.0454626
109.3    0.0480768    0.0278746    0.0481202
158.38    0.0271859    0.0286264    0.0513778
224.29    0.044895    0.0273745    0.0560152
288.74    0.00664856    0.042027    0.0881911
338.42    0.00610813    0.56944    0.26972
            
AuAu 7.7 GeV

Npart    Kurtosis    Stat.Err    Sys.Err
13.85    0.708576    0.0622568    0.0732026
25.62    0.341985    0.0426416    0.0579005
44.56    0.26924    0.0363008    0.0600904
71.36    0.136065    0.0337611    0.0569753
109.02    0.0331446    0.030354    0.0573985
160.94    0.0296316    0.0323094    0.0617727
226.64    -0.0281354    0.033377    0.0685136
290.41    0.0547304    0.0482174    0.0988611
337.36    -0.083763    0.92692    0.54675



Fig.2                           
Efficiency Uncorrected Skewness*St.Deviation  (S*sigma)                                        
__________________________________________________________________________


Au+Au 200 GeV

Npart    S*sigma    Stat.Err    Sys.Err
14.96    0.0283443    0.00355014    0.0151796
27.43    0.0292616    0.00394718    0.0211821
47.21    0.0210673    0.00493016    0.0158558
76.93    0.0314292    0.0061186    0.0102564
116.73    0.0427122    0.00744972    0.00565722
169.02    0.0230814    0.00880084    0.0494221
237.26    0.0196212    0.0102329    0.0470845
302.22    0.00589149    0.0158085    0.0238663
349.67    0.00187453    0.0168454    0.00396141
                                        
Au+Au 62.4 GeV

Npart    S*sigma    Stat.Err    Sys.Err
13.78    0.0557413    0.00519254    0.015493
26.56    0.0679607    0.00558643    0.0220984
46.26    0.0752721    0.00669457    0.0272425
